Word	Frequency
drive	257
peace	256
rag	256
set	255
because	255
nothin'	253
john	253
beguine	253
hotel	250
machine	250
lay	249
brown	249
grace	249
car	249
welcome	248
grow	248
used	248
he's	247
five	246
follow	245
found	245
blind	243
write	242
called	241
wings	241
4	240
thought	240
miles	240
saturday	240
wall	239
else	239
nowhere	238
everywhere	237
control	237
pennies	236
heard	236
stepped	236
[live][#]	236
takes	236
breathe	235
tree	234
closer	234
dots	233
wine	233
doing	232
waltz	232
space	232
swing)	232
taking	232
took	231
cross	230
los	230
word	230
you?	229
bell	229
nobody's	229
fear	228
anyone	228
ocean	228
whole	227
ground	227
hit	225
moonbeams	225
boogie	225
joy	225
lover,	224
mercy	224
goodnight	222
candy	222
september	222
yesterday	221
guy	220
good)	220
evil	220
meet	219
full	219
send	218
club	216
behind	216
(interlude)	216
million	216
four	216
those	216
smoke	215
bit	215
walked	214
hour	214
careless	214
summertime	214
'bout	214
ice	214
-	213
(i'm	213
air	213
valley	213
sister	213
exactly	212
swing	212
highway	212
sunset	211
'em	211
love)	211
hole	211
una	210
isn't	210
lorraine	210
shoes	210
told	208
comin'	208
matter	207
family	207
half	207
baby,	207
vida	207
very	207
belong	207
ballad	206
trust	206
lovers	206
losing	205
strangers	205
human	205
purple	204
wood	204
yet	204
affair	204
bang	204
future	203
means	203
glory	203
faith	203
ye	203
away)	203
cowboy	203
start	202
rush	202
west	202
storm	202
empty	201
[dvd][*]	200
con	200
voice	200
hurts	199
saw	199
rise	198
ipanema	198
mad	198
seven	198
beyond	198
hang	198
poor	197
ring	197
les	197
on?	197
even	197
reach	197
simple	196
fight	196
johnny	196
shame	196
seen	196
lot	195
part	195
leaving	195
corner	194
(to	194
ghetto	194
'n'	194
(in	193
men	193
glass	193
version][*]	193
(you	192
strong	192
thrill	191
wheel	191
band	190
number	190
missing	190
across	189
[album	189
soon	188
amazing	188
[#][*]	188
film	187
return	187
shot	187
spirit	187
waterfront	187
island	186
garden	186
breaking	186
cried	186
pieces	186
smiling	185
sex	185
ball	185
happiness	185
prince	184
man's	184
sick	183
dust	183
picture	183
(but	182
diamonds	182
surrender	182
hero	182
walls	182
lisa	181
concentrate	181
jack	181
promise	181
sleepy	180
makes	180
standing	180
middle	180
gets	179
tiger	179
brand	178
yes	178
started	178
listen	178
single	178
fun	178
livin'	177
special	177
calling	177
bed	177
rockin'	177
monday	177
ask	177
flowers	177
revolution	176
gimme	176
alabama	176
bothered	176
ways	175
wanted	175
brother	175
bridge	173
snow	173
streets	173
outside	173
sing,	173
needs	172
desire	172
texas	172
quiero	172
darkness	171
imagine	171
jude	171
carry	171
love's	171
choo	170
against	170
maria	170
kid	169
faithful	169
bewildered	168
changes	168
dreaming	168
mona	168
feelin'	167
paris	167
flame	167
most	167
solo	167
[edit]	167
kids	166
mirror	166
higher	166
box	166
easily	165
georgia	165
edge	164
bewitched,	164
whatever	164
runaway	164
state	164
feels	163
shout	163
ten	162
emily	162
went	162
fair	162
song)	162
thinking	161
al	161
everyday	161
guitar	161
para	161
moonglow	160
hollywood	160
walkin'	160
straight	160
sleeping	159
du	159
skies	159
butterfly	159
precious	158
(reprise)	158
(when	158
happens	158
stood	158
feet	157
las	157
different	157
[acoustic	157
farewell	156
tender	156
francisco	156
soldier	156
gal	156
[take	155
win	155
romance	155
breath	154
happen	154
je	154
doll	154
wouldn't	154
working	154
buy	153
sign	153
sweetheart	153
[multimedia	153
birdland	152
bitch	152
school	152
james	152
squeeze	152
grey	151
making	151
3	150
here,	150
thousand	150
doesn't	149
love,	149
window	148
fever	148
